query_id	query_name	cluster_id	cluster_score	cluster_taxopath	taxopath
query_11	query_11	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_15	query_15	DISTANT	None	Unspecified	Unspecified
query_36	query_36	DISTANT	None	Unspecified	Unspecified
query_20	query_20	DISTANT	None	Unspecified	Unspecified
query_21	query_21	DISTANT	None	Unspecified	Unspecified
query_2	query_2	DISTANT	None	Unspecified	Unspecified
query_13	query_13	DISTANT	None	Unspecified	Unspecified
query_5	query_5	DISTANT	None	Unspecified	Unspecified
query_8	query_8	DISTANT	None	Unspecified	Unspecified
query_16	query_16	DISTANT	None	Unspecified	Unspecified
query_33	query_33	DISTANT	None	Unspecified	Unspecified
query_29	query_29	DISTANT	None	Unspecified	Unspecified
query_22	query_22	DISTANT	None	Unspecified	Unspecified
query_19	query_19	cluster_IV	0.0	Unspecified	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
query_24	query_24	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_10	query_10	DISTANT	None	Unspecified	Unspecified
query_34	query_34	DISTANT	None	Unspecified	Unspecified
query_1	query_1	DISTANT	None	Unspecified	Unspecified
query_4	query_4	DISTANT	None	Unspecified	Unspecified
query_25	query_25	cluster_IV	0.0	Unspecified	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Blastomonas;s__Blastomonas delafieldii
query_26	query_26	DISTANT	None	Unspecified	Unspecified
query_23	query_23	DISTANT	None	Unspecified	Unspecified
query_12	query_12	DISTANT	None	Unspecified	Unspecified
query_27	query_27	DISTANT	None	Unspecified	Unspecified
query_28	query_28	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_32	query_32	cluster_IV	0.0	Unspecified	d__Bacteria
query_0	query_0	DISTANT	None	Unspecified	Unspecified
query_6	query_6	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_18	query_18	cluster_IV	0.0	Unspecified	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Loktanella;s__Loktanella sp001420005
query_31	query_31	DISTANT	None	Unspecified	Unspecified
query_14	query_14	cluster_IV	0.0	Unspecified	d__Bacteria
query_35	query_35	cluster_IV	0.0	Unspecified	Unspecified
query_38	query_38	cluster_IV	0.0	Unspecified	Unspecified
query_7	query_7	cluster_IV	0.0	Unspecified	Unspecified
query_17	query_17	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_37	query_37	DISTANT	None	Unspecified	Unspecified
query_39	query_39	DISTANT	None	Unspecified	Unspecified
query_9	query_9	DISTANT	None	Unspecified	Unspecified
query_3	query_3	cluster_IV	0.0	Unspecified	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Loktanella;s__Loktanella sp001420005
query_30	query_30	cluster_IV	0.0	Unspecified	Unspecified
