class	counts	fraction
c__Gammaproteobacteria	26	0.11158798283261803
c__Alphaproteobacteria	21	0.09012875536480687
c__Methanosarcinia	18	0.07725321888412018
c__Methanococci	17	0.07296137339055794
c__Cyanobacteriia	16	0.06866952789699571
c__Clostridia	16	0.06866952789699571
c__Desulfobacteria	13	0.055793991416309016
c__Desulfovibrionia	11	0.04721030042918455
c__Methanomicrobia	11	0.04721030042918455
c__Bacteroidia	9	0.03862660944206009
c__UBA9042	7	0.030042918454935622
c__Syntrophoarchaeia	7	0.030042918454935622
c__Bacilli_A	5	0.02145922746781116
c__Campylobacteria	5	0.02145922746781116
c__Desulfobulbia	4	0.017167381974248927
c__Chlorobia	3	0.012875536480686695
c__Dissulfuribacteria	3	0.012875536480686695
c__Desulfuromonadia	3	0.012875536480686695
c__Kiritimatiellae	2	0.008583690987124463
c__Thermodesulfovibrionia	2	0.008583690987124463
c__Desulfotomaculia	2	0.008583690987124463
c__Thermodesulfobacteria	2	0.008583690987124463
c__Verrucomicrobiae	2	0.008583690987124463
c__Spirochaetia	2	0.008583690987124463
c__2-12-FULL-45-22	2	0.008583690987124463
c__Magnetococcia	2	0.008583690987124463
c__Polyangia	2	0.008583690987124463
c__Methanobacteria	2	0.008583690987124463
c__Syntrophobacteria	1	0.004291845493562232
c__SZUA-567	1	0.004291845493562232
c__Thermotogae	1	0.004291845493562232
c__Desulfurobacteriia	1	0.004291845493562232
c__Alicyclobacillia	1	0.004291845493562232
c__Methanopyri	1	0.004291845493562232
c__Deferribacteres	1	0.004291845493562232
c__PUPC01	1	0.004291845493562232
c__Lentisphaeria	1	0.004291845493562232
c__UBA4802	1	0.004291845493562232
c__Defferisomatia	1	0.004291845493562232
c__Thermoanaerobacteria	1	0.004291845493562232
c__Archaeoglobi	1	0.004291845493562232
c__Phycisphaerae	1	0.004291845493562232
c__Fusobacteriia	1	0.004291845493562232
c__Moorellia	1	0.004291845493562232
c__Hydrothermarchaeia	1	0.004291845493562232
Unspecified	1	0.004291845493562232
